numbest,year_film,category,film,winner
9744,2014,SOUND MIXING,Unbroken,FALSE
9745,2014,SOUND MIXING,Whiplash,TRUE
9746,2014,VISUAL EFFECTS,Captain America: The Winter Soldier,FALSE
9747,2014,VISUAL EFFECTS,Dawn of the Planet of the Apes,FALSE
9748,2014,VISUAL EFFECTS,Guardians of the Galaxy,FALSE
9749,2014,VISUAL EFFECTS,Interstellar,TRUE
9750,2014,VISUAL EFFECTS,X-Men: Days of Future Past,FALSE
9751,2014,WRITING (Adapted Screenplay),American Sniper,FALSE
9752,2014,WRITING (Adapted Screenplay),The Imitation Game,TRUE
9753,2014,WRITING (Adapted Screenplay),Inherent Vice,FALSE
9754,2014,WRITING (Adapted Screenplay),The Theory of Everything,FALSE
9755,2014,WRITING (Adapted Screenplay),Whiplash,FALSE
9756,2014,WRITING (Original Screenplay),Birdman or (The Unexpected Virtue of Ignorance),TRUE
9757,2014,WRITING (Original Screenplay),Boyhood,FALSE
9758,2014,WRITING (Original Screenplay),Foxcatcher,FALSE
9759,2014,WRITING (Original Screenplay),The Grand Budapest Hotel,FALSE
9760,2014,WRITING (Original Screenplay),Nightcrawler,FALSE
9765,2015,ACTOR IN A LEADING ROLE,Trumbo,FALSE
9766,2015,ACTOR IN A LEADING ROLE,The Martian,FALSE
9767,2015,ACTOR IN A LEADING ROLE,The Revenant,TRUE
9768,2015,ACTOR IN A LEADING ROLE,Steve Jobs,FALSE
9769,2015,ACTOR IN A LEADING ROLE,The Danish Girl,FALSE
9770,2015,ACTOR IN A SUPPORTING ROLE,The Big Short,FALSE
9771,2015,ACTOR IN A SUPPORTING ROLE,The Revenant,FALSE
9772,2015,ACTOR IN A SUPPORTING ROLE,Spotlight,FALSE
9773,2015,ACTOR IN A SUPPORTING ROLE,Bridge of Spies,TRUE
9774,2015,ACTOR IN A SUPPORTING ROLE,Creed,FALSE
9775,2015,ACTRESS IN A LEADING ROLE,Carol,FALSE
9776,2015,ACTRESS IN A LEADING ROLE,Room,TRUE
9777,2015,ACTRESS IN A LEADING ROLE,Joy,FALSE
9778,2015,ACTRESS IN A LEADING ROLE,45 Years,FALSE
9779,2015,ACTRESS IN A LEADING ROLE,Brooklyn,FALSE
9780,2015,ACTRESS IN A SUPPORTING ROLE,The Hateful Eight,FALSE
9781,2015,ACTRESS IN A SUPPORTING ROLE,Carol,FALSE
9782,2015,ACTRESS IN A SUPPORTING ROLE,Spotlight,FALSE
9783,2015,ACTRESS IN A SUPPORTING ROLE,The Danish Girl,TRUE
9784,2015,ACTRESS IN A SUPPORTING ROLE,Steve Jobs,FALSE
9785,2015,ANIMATED FEATURE FILM,Anomalisa,FALSE
9786,2015,ANIMATED FEATURE FILM,Boy and the World,FALSE
9787,2015,ANIMATED FEATURE FILM,Inside Out,TRUE
9788,2015,ANIMATED FEATURE FILM,Shaun the Sheep Movie,FALSE
9789,2015,ANIMATED FEATURE FILM,When Marnie Was There,FALSE
9790,2015,CINEMATOGRAPHY,Carol,FALSE
9791,2015,CINEMATOGRAPHY,The Hateful Eight,FALSE
9792,2015,CINEMATOGRAPHY,Mad Max: Fury Road,FALSE
9793,2015,CINEMATOGRAPHY,The Revenant,TRUE
9794,2015,CINEMATOGRAPHY,Sicario,FALSE
9795,2015,COSTUME DESIGN,Carol,FALSE
9796,2015,COSTUME DESIGN,Cinderella,FALSE
9797,2015,COSTUME DESIGN,The Danish Girl,FALSE
9798,2015,COSTUME DESIGN,Mad Max: Fury Road,TRUE
9799,2015,COSTUME DESIGN,The Revenant,FALSE
9800,2015,DIRECTING,The Big Short,FALSE
9801,2015,DIRECTING,Mad Max: Fury Road,FALSE
9802,2015,DIRECTING,The Revenant,TRUE
9803,2015,DIRECTING,Room,FALSE
9804,2015,DIRECTING,Spotlight,FALSE
9805,2015,DOCUMENTARY (Feature),Amy,TRUE
9806,2015,DOCUMENTARY (Feature),Cartel Land,FALSE
9807,2015,DOCUMENTARY (Feature),The Look of Silence,FALSE
9808,2015,DOCUMENTARY (Feature),"What Happened, Miss Simone?",FALSE
9809,2015,DOCUMENTARY (Feature),Winter on Fire: Ukraine's Fight for Freedom,FALSE
9810,2015,DOCUMENTARY (Short Subject),Body Team 12,FALSE
9811,2015,DOCUMENTARY (Short Subject),"Chau, beyond the Lines",FALSE
9812,2015,DOCUMENTARY (Short Subject),Claude Lanzmann: Spectres of the Shoah,FALSE
9813,2015,DOCUMENTARY (Short Subject),A Girl in the River: The Price of Forgiveness,TRUE
9814,2015,DOCUMENTARY (Short Subject),Last Day of Freedom,FALSE
9815,2015,FILM EDITING,The Big Short,FALSE
9816,2015,FILM EDITING,Mad Max: Fury Road,TRUE
9817,2015,FILM EDITING,The Revenant,FALSE
9818,2015,FILM EDITING,Spotlight,FALSE
9819,2015,FILM EDITING,Star Wars: The Force Awakens,FALSE
9820,2015,FOREIGN LANGUAGE FILM,Embrace of the Serpent,FALSE
9821,2015,FOREIGN LANGUAGE FILM,Mustang,FALSE
9822,2015,FOREIGN LANGUAGE FILM,Son of Saul,TRUE
9823,2015,FOREIGN LANGUAGE FILM,Theeb,FALSE
9824,2015,FOREIGN LANGUAGE FILM,A War,FALSE
9825,2015,MAKEUP AND HAIRSTYLING,Mad Max: Fury Road,TRUE
9826,2015,MAKEUP AND HAIRSTYLING,The 100-Year-Old Man Who Climbed out the Window and Disappeared,FALSE
9827,2015,MAKEUP AND HAIRSTYLING,The Revenant,FALSE
9828,2015,MUSIC (Original Score),Bridge of Spies,FALSE
9829,2015,MUSIC (Original Score),Carol,FALSE
9830,2015,MUSIC (Original Score),The Hateful Eight,TRUE
9831,2015,MUSIC (Original Score),Sicario,FALSE
9832,2015,MUSIC (Original Score),Star Wars: The Force Awakens,FALSE
9833,2015,MUSIC (Original Song),Fifty Shades of Grey,FALSE
9834,2015,MUSIC (Original Song),Racing Extinction,FALSE
9835,2015,MUSIC (Original Song),Youth,FALSE
9836,2015,MUSIC (Original Song),The Hunting Ground,FALSE
9837,2015,MUSIC (Original Song),Spectre,TRUE
9838,2015,BEST PICTURE,The Big Short,FALSE
9839,2015,BEST PICTURE,Bridge of Spies,FALSE
9840,2015,BEST PICTURE,Brooklyn,FALSE
9841,2015,BEST PICTURE,Mad Max: Fury Road,FALSE
9842,2015,BEST PICTURE,The Martian,FALSE
9843,2015,BEST PICTURE,The Revenant,FALSE
9844,2015,BEST PICTURE,Room,FALSE
9845,2015,BEST PICTURE,Spotlight,TRUE
9846,2015,PRODUCTION DESIGN,Bridge of Spies,FALSE
9847,2015,PRODUCTION DESIGN,The Danish Girl,FALSE
9848,2015,PRODUCTION DESIGN,Mad Max: Fury Road,TRUE
9849,2015,PRODUCTION DESIGN,The Martian,FALSE
9850,2015,PRODUCTION DESIGN,The Revenant,FALSE
9851,2015,SHORT FILM (Animated),Bear Story,TRUE
9852,2015,SHORT FILM (Animated),Prologue,FALSE
9853,2015,SHORT FILM (Animated),Sanjay's Super Team,FALSE
9854,2015,SHORT FILM (Animated),We Can't Live without Cosmos,FALSE
9855,2015,SHORT FILM (Animated),World of Tomorrow,FALSE
9856,2015,SHORT FILM (Live Action),Ave Maria,FALSE
9857,2015,SHORT FILM (Live Action),Day One,FALSE
9858,2015,SHORT FILM (Live Action),Everything Will Be Okay (Alles Wird Gut),FALSE
9859,2015,SHORT FILM (Live Action),Shok,FALSE
9860,2015,SHORT FILM (Live Action),Stutterer,TRUE
9861,2015,SOUND EDITING,Mad Max: Fury Road,TRUE
9862,2015,SOUND EDITING,The Martian,FALSE
9863,2015,SOUND EDITING,The Revenant,FALSE
9864,2015,SOUND EDITING,Sicario,FALSE
9865,2015,SOUND EDITING,Star Wars: The Force Awakens,FALSE
9866,2015,SOUND MIXING,Bridge of Spies,FALSE
9867,2015,SOUND MIXING,Mad Max: Fury Road,TRUE
9868,2015,SOUND MIXING,The Martian,FALSE
9869,2015,SOUND MIXING,The Revenant,FALSE
9870,2015,SOUND MIXING,Star Wars: The Force Awakens,FALSE
9871,2015,VISUAL EFFECTS,Ex Machina,TRUE
9872,2015,VISUAL EFFECTS,Mad Max: Fury Road,FALSE
9873,2015,VISUAL EFFECTS,The Martian,FALSE
9874,2015,VISUAL EFFECTS,The Revenant,FALSE
9875,2015,VISUAL EFFECTS,Star Wars: The Force Awakens,FALSE
9876,2015,WRITING (Adapted Screenplay),The Big Short,TRUE
9877,2015,WRITING (Adapted Screenplay),Brooklyn,FALSE
9878,2015,WRITING (Adapted Screenplay),Carol,FALSE
9879,2015,WRITING (Adapted Screenplay),The Martian,FALSE
9880,2015,WRITING (Adapted Screenplay),Room,FALSE
9881,2015,WRITING (Original Screenplay),Bridge of Spies,FALSE
9882,2015,WRITING (Original Screenplay),Ex Machina,FALSE
9883,2015,WRITING (Original Screenplay),Inside Out,FALSE
9884,2015,WRITING (Original Screenplay),Spotlight,TRUE
9885,2015,WRITING (Original Screenplay),Straight Outta Compton,FALSE
9889,2016,ACTOR IN A LEADING ROLE,Manchester by the Sea,TRUE
9890,2016,ACTOR IN A LEADING ROLE,Hacksaw Ridge,FALSE
9891,2016,ACTOR IN A LEADING ROLE,La La Land,FALSE
9892,2016,ACTOR IN A LEADING ROLE,Captain Fantastic,FALSE
9893,2016,ACTOR IN A LEADING ROLE,Fences,FALSE
9894,2016,ACTOR IN A SUPPORTING ROLE,Moonlight,TRUE
9895,2016,ACTOR IN A SUPPORTING ROLE,Hell or High Water,FALSE
9896,2016,ACTOR IN A SUPPORTING ROLE,Manchester by the Sea,FALSE
9897,2016,ACTOR IN A SUPPORTING ROLE,Lion,FALSE
9898,2016,ACTOR IN A SUPPORTING ROLE,Nocturnal Animals,FALSE
9899,2016,ACTRESS IN A LEADING ROLE,Elle,FALSE
9900,2016,ACTRESS IN A LEADING ROLE,Loving,FALSE
9901,2016,ACTRESS IN A LEADING ROLE,Jackie,FALSE
9902,2016,ACTRESS IN A LEADING ROLE,La La Land,TRUE
9903,2016,ACTRESS IN A LEADING ROLE,Florence Foster Jenkins,FALSE
9904,2016,ACTRESS IN A SUPPORTING ROLE,Fences,TRUE
9905,2016,ACTRESS IN A SUPPORTING ROLE,Moonlight,FALSE
9906,2016,ACTRESS IN A SUPPORTING ROLE,Lion,FALSE
9907,2016,ACTRESS IN A SUPPORTING ROLE,Hidden Figures,FALSE
9908,2016,ACTRESS IN A SUPPORTING ROLE,Manchester by the Sea,FALSE
9909,2016,ANIMATED FEATURE FILM,Kubo and the Two Strings,FALSE
9910,2016,ANIMATED FEATURE FILM,Moana,FALSE
9911,2016,ANIMATED FEATURE FILM,My Life as a Zucchini,FALSE
9912,2016,ANIMATED FEATURE FILM,The Red Turtle,FALSE
9913,2016,ANIMATED FEATURE FILM,Zootopia,TRUE
9914,2016,CINEMATOGRAPHY,Arrival,FALSE
9915,2016,CINEMATOGRAPHY,La La Land,TRUE
9916,2016,CINEMATOGRAPHY,Lion,FALSE
9917,2016,CINEMATOGRAPHY,Moonlight,FALSE
9918,2016,CINEMATOGRAPHY,Silence,FALSE
9919,2016,COSTUME DESIGN,Allied,FALSE
9920,2016,COSTUME DESIGN,Fantastic Beasts and Where to Find Them,TRUE
9921,2016,COSTUME DESIGN,Florence Foster Jenkins,FALSE
9922,2016,COSTUME DESIGN,Jackie,FALSE
9923,2016,COSTUME DESIGN,La La Land,FALSE
9924,2016,DIRECTING,Arrival,FALSE
9925,2016,DIRECTING,Hacksaw Ridge,FALSE
9926,2016,DIRECTING,La La Land,TRUE
9927,2016,DIRECTING,Manchester by the Sea,FALSE
9928,2016,DIRECTING,Moonlight,FALSE
9929,2016,DOCUMENTARY (Feature),Fire at Sea,FALSE
9930,2016,DOCUMENTARY (Feature),I Am Not Your Negro,FALSE
9931,2016,DOCUMENTARY (Feature),"Life, Animated",FALSE
9932,2016,DOCUMENTARY (Feature),O.J.: Made in America,TRUE
9933,2016,DOCUMENTARY (Feature),13th,FALSE
9934,2016,DOCUMENTARY (Short Subject),Extremis,FALSE
9935,2016,DOCUMENTARY (Short Subject),4.1 Miles,FALSE
9936,2016,DOCUMENTARY (Short Subject),Joe's Violin,FALSE
9937,2016,DOCUMENTARY (Short Subject),Watani: My Homeland,FALSE
9938,2016,DOCUMENTARY (Short Subject),The White Helmets,TRUE
9939,2016,FILM EDITING,Arrival,FALSE
9940,2016,FILM EDITING,Hacksaw Ridge,TRUE
9941,2016,FILM EDITING,Hell or High Water,FALSE
9942,2016,FILM EDITING,La La Land,FALSE
9943,2016,FILM EDITING,Moonlight,FALSE
9944,2016,FOREIGN LANGUAGE FILM,Land of Mine,FALSE
9945,2016,FOREIGN LANGUAGE FILM,A Man Called Ove,FALSE
9946,2016,FOREIGN LANGUAGE FILM,The Salesman,TRUE
9947,2016,FOREIGN LANGUAGE FILM,Tanna,FALSE
9948,2016,FOREIGN LANGUAGE FILM,Toni Erdmann,FALSE
9949,2016,MAKEUP AND HAIRSTYLING,A Man Called Ove,FALSE
9950,2016,MAKEUP AND HAIRSTYLING,Star Trek Beyond,FALSE
9951,2016,MAKEUP AND HAIRSTYLING,Suicide Squad,TRUE
9952,2016,MUSIC (Original Score),Jackie,FALSE
9953,2016,MUSIC (Original Score),La La Land,TRUE
9954,2016,MUSIC (Original Score),Lion,FALSE
9955,2016,MUSIC (Original Score),Moonlight,FALSE
9956,2016,MUSIC (Original Score),Passengers,FALSE
9957,2016,MUSIC (Original Song),La La Land,FALSE
9958,2016,MUSIC (Original Song),Trolls,FALSE
9959,2016,MUSIC (Original Song),La La Land,TRUE
9960,2016,MUSIC (Original Song),Jim: The James Foley Story,FALSE
9961,2016,MUSIC (Original Song),Moana,FALSE
9962,2016,BEST PICTURE,Arrival,FALSE
9963,2016,BEST PICTURE,Fences,FALSE
9964,2016,BEST PICTURE,Hacksaw Ridge,FALSE
9965,2016,BEST PICTURE,Hell or High Water,FALSE
9966,2016,BEST PICTURE,Hidden Figures,FALSE
9967,2016,BEST PICTURE,La La Land,FALSE
9968,2016,BEST PICTURE,Lion,FALSE
9969,2016,BEST PICTURE,Manchester by the Sea,FALSE
9970,2016,BEST PICTURE,Moonlight,TRUE
9971,2016,PRODUCTION DESIGN,Arrival,FALSE
9972,2016,PRODUCTION DESIGN,Fantastic Beasts and Where to Find Them,FALSE
9973,2016,PRODUCTION DESIGN,"Hail, Caesar!",FALSE
9974,2016,PRODUCTION DESIGN,La La Land,TRUE
9975,2016,PRODUCTION DESIGN,Passengers,FALSE
9976,2016,SHORT FILM (Animated),Blind Vaysha,FALSE
9977,2016,SHORT FILM (Animated),Borrowed Time,FALSE
9978,2016,SHORT FILM (Animated),Pear Cider and Cigarettes,FALSE
9979,2016,SHORT FILM (Animated),Pearl,FALSE
9980,2016,SHORT FILM (Animated),Piper,TRUE
9981,2016,SHORT FILM (Live Action),Ennemis Intérieurs,FALSE
9982,2016,SHORT FILM (Live Action),La Femme et le TGV,FALSE
9983,2016,SHORT FILM (Live Action),Silent Nights,FALSE
9984,2016,SHORT FILM (Live Action),Sing,TRUE
9985,2016,SHORT FILM (Live Action),Timecode,FALSE
9986,2016,SOUND EDITING,Arrival,TRUE
9987,2016,SOUND EDITING,Deepwater Horizon,FALSE
9988,2016,SOUND EDITING,Hacksaw Ridge,FALSE
9989,2016,SOUND EDITING,La La Land,FALSE
9990,2016,SOUND EDITING,Sully,FALSE
9991,2016,SOUND MIXING,Arrival,FALSE
9992,2016,SOUND MIXING,Hacksaw Ridge,TRUE
9993,2016,SOUND MIXING,La La Land,FALSE
9994,2016,SOUND MIXING,Rogue One: A Star Wars Story,FALSE
9995,2016,SOUND MIXING,13 Hours: The Secret Soldiers of Benghazi,FALSE
9996,2016,VISUAL EFFECTS,Deepwater Horizon,FALSE
9997,2016,VISUAL EFFECTS,Doctor Strange,FALSE
9998,2016,VISUAL EFFECTS,The Jungle Book,TRUE
9999,2016,VISUAL EFFECTS,Kubo and the Two Strings,FALSE
10000,2016,VISUAL EFFECTS,Rogue One: A Star Wars Story,FALSE
10001,2016,WRITING (Adapted Screenplay),Arrival,FALSE
10002,2016,WRITING (Adapted Screenplay),Fences,FALSE
10003,2016,WRITING (Adapted Screenplay),Hidden Figures,FALSE
10004,2016,WRITING (Adapted Screenplay),Lion,FALSE
10005,2016,WRITING (Adapted Screenplay),Moonlight,TRUE
10006,2016,WRITING (Original Screenplay),Hell or High Water,FALSE
10007,2016,WRITING (Original Screenplay),La La Land,FALSE
10008,2016,WRITING (Original Screenplay),The Lobster,FALSE
10009,2016,WRITING (Original Screenplay),Manchester by the Sea,TRUE
10010,2016,WRITING (Original Screenplay),20th Century Women,FALSE
10015,2017,ACTOR IN A LEADING ROLE,Call Me by Your Name,FALSE
10016,2017,ACTOR IN A LEADING ROLE,Phantom Thread,FALSE
10017,2017,ACTOR IN A LEADING ROLE,Get Out,FALSE
10018,2017,ACTOR IN A LEADING ROLE,Darkest Hour,TRUE
10019,2017,ACTOR IN A LEADING ROLE,"Roman J. Israel, Esq.",FALSE
10020,2017,ACTOR IN A SUPPORTING ROLE,The Florida Project,FALSE
10021,2017,ACTOR IN A SUPPORTING ROLE,"Three Billboards outside Ebbing, Missouri",FALSE
10022,2017,ACTOR IN A SUPPORTING ROLE,The Shape of Water,FALSE
10023,2017,ACTOR IN A SUPPORTING ROLE,All the Money in the World,FALSE
10024,2017,ACTOR IN A SUPPORTING ROLE,"Three Billboards outside Ebbing, Missouri",TRUE
10025,2017,ACTRESS IN A LEADING ROLE,The Shape of Water,FALSE
10026,2017,ACTRESS IN A LEADING ROLE,"Three Billboards outside Ebbing, Missouri",TRUE
10027,2017,ACTRESS IN A LEADING ROLE,"I, Tonya",FALSE
10028,2017,ACTRESS IN A LEADING ROLE,Lady Bird,FALSE
10029,2017,ACTRESS IN A LEADING ROLE,The Post,FALSE
10030,2017,ACTRESS IN A SUPPORTING ROLE,Mudbound,FALSE
10031,2017,ACTRESS IN A SUPPORTING ROLE,"I, Tonya",TRUE
10032,2017,ACTRESS IN A SUPPORTING ROLE,Phantom Thread,FALSE
10033,2017,ACTRESS IN A SUPPORTING ROLE,Lady Bird,FALSE
10034,2017,ACTRESS IN A SUPPORTING ROLE,The Shape of Water,FALSE
10035,2017,ANIMATED FEATURE FILM,The Boss Baby,FALSE
10036,2017,ANIMATED FEATURE FILM,The Breadwinner,FALSE
10037,2017,ANIMATED FEATURE FILM,Coco,TRUE
10038,2017,ANIMATED FEATURE FILM,Ferdinand,FALSE
10039,2017,ANIMATED FEATURE FILM,Loving Vincent,FALSE
10040,2017,CINEMATOGRAPHY,Blade Runner 2049,TRUE
10041,2017,CINEMATOGRAPHY,Darkest Hour,FALSE
10042,2017,CINEMATOGRAPHY,Dunkirk,FALSE
10043,2017,CINEMATOGRAPHY,Mudbound,FALSE
10044,2017,CINEMATOGRAPHY,The Shape of Water,FALSE
10045,2017,COSTUME DESIGN,Beauty and the Beast,FALSE
10046,2017,COSTUME DESIGN,Darkest Hour,FALSE
10047,2017,COSTUME DESIGN,Phantom Thread,TRUE
10048,2017,COSTUME DESIGN,The Shape of Water,FALSE
10049,2017,COSTUME DESIGN,Victoria & Abdul,FALSE
10050,2017,DIRECTING,Dunkirk,FALSE
10051,2017,DIRECTING,Get Out,FALSE
10052,2017,DIRECTING,Lady Bird,FALSE
10053,2017,DIRECTING,Phantom Thread,FALSE
10054,2017,DIRECTING,The Shape of Water,TRUE
10055,2017,DOCUMENTARY (Feature),Abacus: Small Enough to Jail,FALSE
10056,2017,DOCUMENTARY (Feature),Faces Places,FALSE
10057,2017,DOCUMENTARY (Feature),Icarus,TRUE
10058,2017,DOCUMENTARY (Feature),Last Men in Aleppo,FALSE
10059,2017,DOCUMENTARY (Feature),Strong Island,FALSE
10060,2017,DOCUMENTARY (Short Subject),Edith+Eddie,FALSE
10061,2017,DOCUMENTARY (Short Subject),Heaven Is a Traffic Jam on the 405,TRUE
10062,2017,DOCUMENTARY (Short Subject),Heroin(e),FALSE
10063,2017,DOCUMENTARY (Short Subject),Knife Skills,FALSE
10064,2017,DOCUMENTARY (Short Subject),Traffic Stop,FALSE
10065,2017,FILM EDITING,Baby Driver,FALSE
10066,2017,FILM EDITING,Dunkirk,TRUE
10067,2017,FILM EDITING,"I, Tonya",FALSE
10068,2017,FILM EDITING,The Shape of Water,FALSE
10069,2017,FILM EDITING,"Three Billboards outside Ebbing, Missouri",FALSE
10070,2017,FOREIGN LANGUAGE FILM,A Fantastic Woman,TRUE
10071,2017,FOREIGN LANGUAGE FILM,The Insult,FALSE
10072,2017,FOREIGN LANGUAGE FILM,Loveless,FALSE
10073,2017,FOREIGN LANGUAGE FILM,On Body and Soul,FALSE
10074,2017,FOREIGN LANGUAGE FILM,The Square,FALSE
10075,2017,MAKEUP AND HAIRSTYLING,Darkest Hour,TRUE
10076,2017,MAKEUP AND HAIRSTYLING,Victoria & Abdul,FALSE
10077,2017,MAKEUP AND HAIRSTYLING,Wonder,FALSE
10078,2017,MUSIC (Original Score),Dunkirk,FALSE
10079,2017,MUSIC (Original Score),Phantom Thread,FALSE
10080,2017,MUSIC (Original Score),The Shape of Water,TRUE
10081,2017,MUSIC (Original Score),Star Wars: The Last Jedi,FALSE
10082,2017,MUSIC (Original Score),"Three Billboards outside Ebbing, Missouri",FALSE
10083,2017,MUSIC (Original Song),Mudbound,FALSE
10084,2017,MUSIC (Original Song),Call Me by Your Name,FALSE
10085,2017,MUSIC (Original Song),Coco,TRUE
10086,2017,MUSIC (Original Song),Marshall,FALSE
10087,2017,MUSIC (Original Song),The Greatest Showman,FALSE
10088,2017,BEST PICTURE,Call Me by Your Name,FALSE
10089,2017,BEST PICTURE,Darkest Hour,FALSE
10090,2017,BEST PICTURE,Dunkirk,FALSE
10091,2017,BEST PICTURE,Get Out,FALSE
10092,2017,BEST PICTURE,Lady Bird,FALSE
10093,2017,BEST PICTURE,Phantom Thread,FALSE
10094,2017,BEST PICTURE,The Post,FALSE
10095,2017,BEST PICTURE,The Shape of Water,TRUE
10096,2017,BEST PICTURE,"Three Billboards outside Ebbing, Missouri",FALSE
10097,2017,PRODUCTION DESIGN,Beauty and the Beast,FALSE
10098,2017,PRODUCTION DESIGN,Blade Runner 2049,FALSE
10099,2017,PRODUCTION DESIGN,Darkest Hour,FALSE
10100,2017,PRODUCTION DESIGN,Dunkirk,FALSE
10101,2017,PRODUCTION DESIGN,The Shape of Water,TRUE
10102,2017,SHORT FILM (Animated),Dear Basketball,TRUE
10103,2017,SHORT FILM (Animated),Garden Party,FALSE
10104,2017,SHORT FILM (Animated),Lou,FALSE
10105,2017,SHORT FILM (Animated),Negative Space,FALSE
10106,2017,SHORT FILM (Animated),Revolting Rhymes,FALSE
10107,2017,SHORT FILM (Live Action),DeKalb Elementary,FALSE
10108,2017,SHORT FILM (Live Action),The Eleven O'Clock,FALSE
10109,2017,SHORT FILM (Live Action),My Nephew Emmett,FALSE
10110,2017,SHORT FILM (Live Action),The Silent Child,TRUE
10111,2017,SHORT FILM (Live Action),Watu Wote/All of Us,FALSE
10112,2017,SOUND EDITING,Baby Driver,FALSE
10113,2017,SOUND EDITING,Blade Runner 2049,FALSE
10114,2017,SOUND EDITING,Dunkirk,TRUE
10115,2017,SOUND EDITING,The Shape of Water,FALSE
10116,2017,SOUND EDITING,Star Wars: The Last Jedi,FALSE
10117,2017,SOUND MIXING,Baby Driver,FALSE
10118,2017,SOUND MIXING,Blade Runner 2049,FALSE
10119,2017,SOUND MIXING,Dunkirk,TRUE
10120,2017,SOUND MIXING,The Shape of Water,FALSE
10121,2017,SOUND MIXING,Star Wars: The Last Jedi,FALSE
10122,2017,VISUAL EFFECTS,Blade Runner 2049,TRUE
10123,2017,VISUAL EFFECTS,Guardians of the Galaxy Vol. 2,FALSE
10124,2017,VISUAL EFFECTS,Kong: Skull Island,FALSE
10125,2017,VISUAL EFFECTS,Star Wars: The Last Jedi,FALSE
10126,2017,VISUAL EFFECTS,War for the Planet of the Apes,FALSE
10127,2017,WRITING (Adapted Screenplay),Call Me by Your Name,TRUE
10128,2017,WRITING (Adapted Screenplay),The Disaster Artist,FALSE
10129,2017,WRITING (Adapted Screenplay),Logan,FALSE
10130,2017,WRITING (Adapted Screenplay),Molly's Game,FALSE
10131,2017,WRITING (Adapted Screenplay),Mudbound,FALSE
10132,2017,WRITING (Original Screenplay),The Big Sick,FALSE
10133,2017,WRITING (Original Screenplay),Get Out,TRUE
10134,2017,WRITING (Original Screenplay),Lady Bird,FALSE
10135,2017,WRITING (Original Screenplay),The Shape of Water,FALSE
10136,2017,WRITING (Original Screenplay),"Three Billboards outside Ebbing, Missouri",FALSE
10142,2018,ACTOR IN A LEADING ROLE,Vice,FALSE
10143,2018,ACTOR IN A LEADING ROLE,A Star Is Born,FALSE
10144,2018,ACTOR IN A LEADING ROLE,At Eternity's Gate,FALSE
10145,2018,ACTOR IN A LEADING ROLE,Bohemian Rhapsody,TRUE
10146,2018,ACTOR IN A LEADING ROLE,Green Book,FALSE
10147,2018,ACTOR IN A SUPPORTING ROLE,Green Book,TRUE
10148,2018,ACTOR IN A SUPPORTING ROLE,BlacKkKlansman,FALSE
10149,2018,ACTOR IN A SUPPORTING ROLE,A Star Is Born,FALSE
10150,2018,ACTOR IN A SUPPORTING ROLE,Can You Ever Forgive Me?,FALSE
10151,2018,ACTOR IN A SUPPORTING ROLE,Vice,FALSE
10152,2018,ACTRESS IN A LEADING ROLE,Roma,FALSE
10153,2018,ACTRESS IN A LEADING ROLE,The Wife,FALSE
10154,2018,ACTRESS IN A LEADING ROLE,The Favourite,TRUE
10155,2018,ACTRESS IN A LEADING ROLE,A Star Is Born,FALSE
10156,2018,ACTRESS IN A LEADING ROLE,Can You Ever Forgive Me?,FALSE
10157,2018,ACTRESS IN A SUPPORTING ROLE,Vice,FALSE
10158,2018,ACTRESS IN A SUPPORTING ROLE,Roma,FALSE
10159,2018,ACTRESS IN A SUPPORTING ROLE,If Beale Street Could Talk,TRUE
10160,2018,ACTRESS IN A SUPPORTING ROLE,The Favourite,FALSE
10161,2018,ACTRESS IN A SUPPORTING ROLE,The Favourite,FALSE
10162,2018,ANIMATED FEATURE FILM,Incredibles 2,FALSE
10163,2018,ANIMATED FEATURE FILM,Isle of Dogs,FALSE
10164,2018,ANIMATED FEATURE FILM,Mirai,FALSE
10165,2018,ANIMATED FEATURE FILM,Ralph Breaks the Internet,FALSE
10166,2018,ANIMATED FEATURE FILM,Spider-Man: Into the Spider-Verse,TRUE
10167,2018,CINEMATOGRAPHY,Cold War,FALSE
10168,2018,CINEMATOGRAPHY,The Favourite,FALSE
10169,2018,CINEMATOGRAPHY,Never Look Away,FALSE
10170,2018,CINEMATOGRAPHY,Roma,TRUE
10171,2018,CINEMATOGRAPHY,A Star Is Born,FALSE
10172,2018,COSTUME DESIGN,The Ballad of Buster Scruggs,FALSE
10173,2018,COSTUME DESIGN,Black Panther,TRUE
10174,2018,COSTUME DESIGN,The Favourite,FALSE
10175,2018,COSTUME DESIGN,Mary Poppins Returns,FALSE
10176,2018,COSTUME DESIGN,Mary Queen of Scots,FALSE
10177,2018,DIRECTING,BlacKkKlansman,FALSE
10178,2018,DIRECTING,Cold War,FALSE
10179,2018,DIRECTING,The Favourite,FALSE
10180,2018,DIRECTING,Roma,TRUE
10181,2018,DIRECTING,Vice,FALSE
10182,2018,DOCUMENTARY (Feature),Free Solo,TRUE
10183,2018,DOCUMENTARY (Feature),"Hale County This Morning, This Evening",FALSE
10184,2018,DOCUMENTARY (Feature),Minding the Gap,FALSE
10185,2018,DOCUMENTARY (Feature),Of Fathers and Sons,FALSE
10186,2018,DOCUMENTARY (Feature),RBG,FALSE
10187,2018,DOCUMENTARY (Short Subject),Black Sheep,FALSE
10188,2018,DOCUMENTARY (Short Subject),End Game,FALSE
